kuerzel	GUN
korrekturkurs0	9a L5
häufigkeit0	1
dauer0	2
dauer_anders0	
schreiber0	20
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Ge-LK
häufigkeit1	1
dauer1	180
dauer_anders1	
schreiber1	13
bemerkung1	
nachschr1	1
facharbeiten1	5
andereeingabe1	
nicht1	
abi_erst2	Q2 G-GK
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	3
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_erst3	Q2 Ge-GK2
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	4
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
abi_zweit4	Q2 Ge-LK von ST
häufigkeit4	normalLK
dauer4	Abi
dauer_anders4	
schreiber4	14
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
