kuerzel	HTM
korrekturkurs0	5c E5
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8 B/C
häufigkeit1	1
dauer1	60
dauer_anders1	
schreiber1	16
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9d E
häufigkeit2	_
dauer2	0
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Bi-GK
häufigkeit3	1
dauer3	135
dauer_anders3	
schreiber3	11
bemerkung3	davon haben 5 SuS Facharbeit geschrieben
nachschr3	0
andereeingabe3	
nicht3	
abi_erst4	Q2 Bi-LK
häufigkeit4	normalLK
dauer4	Abi
dauer_anders4	
schreiber4	15
bemerkung4	+ 1x Nachschreibklausur
nachschr4	nein
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	09d
klassenleitung_nr	1
klassenleitung_aufteilung	60 - 60
kommentar	Aus der Q1 haben 5 SuS Facharbeit geschrieben, Aaron Koevoets hat die Klausur nicht mitgeschrieben und wird wohl auch nicht nachschreiben --> somit 5 Klausuren.
