kuerzel	PE
korrekturkurs0	5a M
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	ja
andereeingabe0	
nicht0	
korrekturkurs1	6a M
häufigkeit1	1
dauer1	1
dauer_anders1	
schreiber1	22
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
korrekturkurs2	7c M
häufigkeit2	1
dauer2	60
dauer_anders2	
schreiber2	27
bemerkung2	
nachschr2	ja
andereeingabe2	
nicht2	
korrekturkurs3	8 B/C
häufigkeit3	1
dauer3	60
dauer_anders3	
schreiber3	16
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
korrekturkurs4	Q1 M-LK
häufigkeit4	1
dauer4	180
dauer_anders4	
schreiber4	22
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_zweit5	Q2 M-LK von LC
häufigkeit5	normalLK
dauer5	Abi
dauer_anders5	
schreiber5	23
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	5a
klassenleitung_nr	2
klassenleitung_aufteilung	60:60
kommentar	-Betreuung einer Facharbeit 
