kuerzel	HAV
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5d M
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	28
bemerkung0	
nachschr0	2
andereeingabe0	
nicht0	
korrekturkurs1	Q2 Sw-LK
häufigkeit1	2
dauer1	5
dauer_anders1	
schreiber1	14
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q2 Sw-GK
häufigkeit2	2
dauer2	4
dauer_anders2	
schreiber2	10
bemerkung2	
nachschr2	2
andereeingabe2	
nicht2	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
