kuerzel	HET
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5a D
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	20
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8b M
häufigkeit1	2
dauer1	60
dauer_anders1	
schreiber1	24
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 N-GK
häufigkeit2	2
dauer2	90
dauer_anders2	
schreiber2	22
bemerkung2	statt zweiter Klausur Kommunikationsprüfung ✔
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q2 N-GK
häufigkeit3	2
dauer3	4
dauer_anders3	180 Minuten (Anm.KN: 180 min = 4 Schulstunden) ✔
schreiber3	14
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	ja
klassenleitung_klasse	5a
klassenleitung_nr	2
klassenleitung_aufteilung	90
kommentar	Die 5a ist eine Klasse des gemeinsamen Lernens (ich weiß nicht, ob diese Information für die Entlastung relevant ist)
