kuerzel	MOE
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	6 E5
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8 DG
häufigkeit1	1
dauer1	1
dauer_anders1	
schreiber1	10
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	9a E
häufigkeit2	2
dauer2	1
dauer_anders2	
schreiber2	22
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
korrekturkurs3	9 DG
häufigkeit3	1
dauer3	1
dauer_anders3	
schreiber3	14
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	EF D-GK
häufigkeit4	2
dauer4	2
dauer_anders4	
schreiber4	22
bemerkung4	
nachschr4	1
andereeingabe4	
nicht4	
korrekturkurs5	Q1 E-LK
häufigkeit5	2
dauer5	180
dauer_anders5	
schreiber5	25
bemerkung5	
nachschr5	0
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	9a
klassenleitung_nr	2
klassenleitung_aufteilung	
kommentar	
