kuerzel	VS
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	8b E
häufigkeit0	3
dauer0	1
dauer_anders0	
schreiber0	24
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	8b F6
häufigkeit1	3
dauer1	1
dauer_anders1	
schreiber1	23
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	EF E-GK
häufigkeit2	2
dauer2	2
dauer_anders2	
schreiber2	23
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	EF E-GK
häufigkeit3	2
dauer3	2
dauer_anders3	
schreiber3	20
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
