kuerzel	HY
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	6 E5
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	18
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	9c E
häufigkeit1	2
dauer1	60
dauer_anders1	
schreiber1	27
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Rk-GK
häufigkeit2	a
dauer2	0
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	0
andereeingabe2	Es gab keine Klausurschreiber.
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	9c
klassenleitung_nr	2
klassenleitung_aufteilung	90/90
kommentar	
