kuerzel	MLR
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5a M
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	21
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	EF Ph-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	10
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF Ph-GK
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	13
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
korrekturkurs3	Q1 Ph-GK
häufigkeit3	2
dauer3	90
dauer_anders3	
schreiber3	2
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q2 M-GK
häufigkeit4	2
dauer4	4
dauer_anders4	
schreiber4	21
bemerkung4	
nachschr4	2
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	5a
klassenleitung_nr	1
klassenleitung_aufteilung	90
kommentar	
