kuerzel	BAR
deputat_korrekt_janein	ja
deputat_berichtigung	9D Rk (Anm.KN: macht nichts, denn Kurszusammensetzungen stehen nicht in der UV)
korrekturkurs0	EF Rk-GK
häufigkeit0	_
dauer0	0
dauer_anders0	
schreiber0	
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Rk-GK
häufigkeit1	_
dauer1	0
dauer_anders1	
schreiber1	
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Rk-GK
häufigkeit2	2
dauer2	135
dauer_anders2	
schreiber2	1
bemerkung2	
nachschr2	0
facharbeiten2	0
andereeingabe2	
nicht2	
abi_erst3	Q2 Bi-LK
häufigkeit3	normalLK
dauer3	Abi
dauer_anders3	
schreiber3	17
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
abi_erst4	Q2 kR-GK2
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	1
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
