kuerzel	HAV
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	5d M
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	28
bemerkung0	die zweite Arbeit kommt noch, daher Nachschreiber nur für den 1. Termin
nachschr0	1
andereeingabe0	
nicht0	
abi_erst1	Q2 Sw-LK
häufigkeit1	normalLK
dauer1	Abi
dauer_anders1	
schreiber1	14
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
abi_erst2	Q2 Sw-GK2
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	6
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
abi_mue_A4_fach_und_kursart3	Sw GK
abi_A4_mue_bloecke3	1
abi_mue_bemerkung3	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Hallo lieber Manuel,//entschuldige, dass auch ich die Frist verpennt habe.//Und noch eine Frage: Wird bei den Vorabi-Klausuren berücksichtigt, dass wir in Sowi Auswahlklausuren stellen müssen? Auch bei den Nachschreibenden?! Wenn nicht, finde ich, dass man überdenken sollte, ob das aufgenommen werden sollte. Es sind ja viele Fächer davon betroffen.//LG, Elke
