kuerzel	HOY
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	8a F6
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	19
bemerkung0	Arbeit kommt noch
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Ku-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	2
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	EF Ku-GK
häufigkeit2	1
dauer2	2
dauer_anders2	
schreiber2	1
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	Q1 F-GK
häufigkeit3	2
dauer3	135
dauer_anders3	
schreiber3	4
bemerkung3	
nachschr3	1
facharbeiten3	0
andereeingabe3	
nicht3	
korrekturkurs4	Q1 Ku-GK
häufigkeit4	0
dauer4	0
dauer_anders4	
schreiber4	
bemerkung4	
nachschr4	0
facharbeiten4	0
andereeingabe4	
nicht4	
klassenleitung_janein	ja
klassenleitung_klasse	8d
klassenleitung_nr	2
klassenleitung_aufteilung	150:30
kommentar	Erläuterung zur Punkteangabe Klassenleitung: Im ersten Quartal habe ich die Klassenleitung so gut wie alleine übernommen - die 2. Klassenleitung war eine nur für einige Wochen anwesende Vertretungskraft, die krankheitsbedingt länger ausfiel und dann schon wieder komplett ausgeschieden ist. Daher habe ich für das erste Quartal 180 Punkte gerechnet, für das zweite Quartal die üblichen 120, da eine neue Vertretungskraft nun in die 2. Klassenleitung eingestiegen ist. Insgesamt habe ich daher für das Halbjahr insgesamt 150 Punkte eingetragen und hoffe, dass das so nachvollziehbar und in Ordnung ist.
