kuerzel	LEA
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	Q1 Bi-LK
häufigkeit0	2
dauer0	180
dauer_anders0	
schreiber0	20
bemerkung0	
nachschr0	2
facharbeiten0	3
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Bi-GK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	15
bemerkung1	
nachschr1	2
facharbeiten1	2
andereeingabe1	
nicht1	
abi_erst2	Q2 Bi-GK1
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	2
bemerkung2	
nachschr2	nein(neu)
andereeingabe2	
nicht2	
abi_zweit3	Q2 Ek-LK von VOG
häufigkeit3	normalLK
dauer3	Abi
dauer_anders3	
schreiber3	17
bemerkung3	Wurde von einem anderen Kollegen gemacht
nachschr3	nein
andereeingabe3	
nicht3	
abi_zweit4	Q2 Bi-GK2 von HTM
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	3
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_mue_A4_fach_und_kursart5	Bi GK
abi_A4_mue_bloecke5	3
abi_mue_bemerkung5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
