kuerzel	NC
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	7d E5
häufigkeit0	1
dauer0	60
dauer_anders0	
schreiber0	27
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	8a E
häufigkeit1	1
dauer1	60
dauer_anders1	
schreiber1	20
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
korrekturkurs2	8 G/C
häufigkeit2	0
dauer2	0
dauer_anders2	
schreiber2	
bemerkung2	
nachschr2	0
andereeingabe2	
nicht2	
korrekturkurs3	9d E
häufigkeit3	2
dauer3	2
dauer_anders3	
schreiber3	29
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
korrekturkurs4	9 G/C
häufigkeit4	1
dauer4	2
dauer_anders4	
schreiber4	27
bemerkung4	
nachschr4	0
andereeingabe4	
nicht4	
abi_zweit5	Q2 E-GK1 von ME
häufigkeit5	normalGK
dauer5	Abi
dauer_anders5	
schreiber5	4
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
abi_zweit6	Q2 E-GK2 von VOI
häufigkeit6	normalGK
dauer6	Abi
dauer_anders6	
schreiber6	3
bemerkung6	
nachschr6	nein
andereeingabe6	
nicht6	
abi_zweit7	Q2 E-GK3 von ME
häufigkeit7	normalGK
dauer7	Abi
dauer_anders7	
schreiber7	2
bemerkung7	
nachschr7	nein
andereeingabe7	
nicht7	
klassenleitung_janein	ja
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
