kuerzel	PS
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	9b F6
häufigkeit0	1
dauer0	1
dauer_anders0	
schreiber0	23
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
korrekturkurs1	EF Pl-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	5
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Ge-LK
häufigkeit2	2
dauer2	180
dauer_anders2	
schreiber2	16
bemerkung2	
nachschr2	0
facharbeiten2	03
andereeingabe2	
nicht2	
korrekturkurs3	EF Pl-GK
häufigkeit3	1
dauer3	2
dauer_anders3	
schreiber3	3
bemerkung3	
nachschr3	0
andereeingabe3	
nicht3	
abi_zweit4	Q2 Ge-LK von GUN
häufigkeit4	normalLK
dauer4	Abi
dauer_anders4	
schreiber4	11
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_mue_A4_fach_und_kursart5	Ph GK
abi_A4_mue_bloecke5	1
abi_mue_bemerkung5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
