kuerzel	SBM
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	Q1 D-LK
häufigkeit0	2
dauer0	180
dauer_anders0	
schreiber0	17
bemerkung0	
nachschr0	1
facharbeiten0	4
andereeingabe0	
nicht0	
korrekturkurs1	Q1 Pl-GK
häufigkeit1	2
dauer1	135
dauer_anders1	
schreiber1	3
bemerkung1	
nachschr1	0
facharbeiten1	1
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Pl-GK
häufigkeit2	2
dauer2	135
dauer_anders2	
schreiber2	2
bemerkung2	
nachschr2	1
facharbeiten2	0
andereeingabe2	
nicht2	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	Der zweite Pl-Kurs war nur zeitweise (Januar bis Ende April), ich habe aber eine Klausur gestellt und korrigiert sowie eine Nachschreibeklausur gestellt und korrigiert.
